PLAYER_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,FG_PCT,FG3_PCT,FT_PCT,full_name,MIN_PG,FGM_PG,FGA_PG,FG3M_PG,FG3A_PG,FTM_PG,FTA_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG
1630173,2020-21,1610612748,MIA,21.0,61,4,0.544,0.0,0.509,Precious Achiuwa,12.081967213114755,2.0327868852459017,3.737704918032787,0.0,0.01639344262295082,0.9180327868852459,1.8032786885245902,1.1967213114754098,2.2131147540983607,3.4098360655737703,0.47540983606557374,0.32786885245901637,0.45901639344262296,0.7049180327868853,1.4918032786885247,4.983606557377049
1630173,2021-22,1610612761,TOR,22.0,73,28,0.439,0.359,0.595,Precious Achiuwa,23.63013698630137,3.6301369863013697,8.26027397260274,0.7671232876712328,2.136986301369863,1.0684931506849316,1.7945205479452055,2.0,4.47945205479452,6.47945205479452,1.1232876712328768,0.5068493150684932,0.5616438356164384,1.1506849315068493,2.0684931506849313,9.095890410958905
1630173,2022-23,1610612761,TOR,23.0,55,12,0.485,0.269,0.702,Precious Achiuwa,20.745454545454546,3.5636363636363635,7.345454545454546,0.5272727272727272,1.9636363636363636,1.5818181818181818,2.2545454545454544,1.8181818181818181,4.1454545454545455,5.963636363636364,0.9090909090909091,0.5636363636363636,0.5454545454545454,1.0727272727272728,1.8545454545454545,9.236363636363636
1630173,2023-24,1610612761,TOR,24.0,25,0,0.459,0.277,0.571,Precious Achiuwa,17.48,3.12,6.8,0.52,1.88,0.96,1.68,2.0,3.44,5.44,1.76,0.64,0.48,1.16,1.6,7.72
1630173,2023-24,1610612752,NYK,24.0,49,18,0.525,0.26,0.643,Precious Achiuwa,24.224489795918366,3.204081632653061,6.1020408163265305,0.2653061224489796,1.0204081632653061,0.9183673469387755,1.4285714285714286,2.877551020408163,4.285714285714286,7.163265306122449,1.0816326530612246,0.6122448979591837,1.1428571428571428,1.1020408163265305,2.1020408163265305,7.591836734693878
1630173,2023-24,0,TOT,24.0,74,18,0.501,0.268,0.616,Precious Achiuwa,21.945945945945947,3.175675675675676,6.337837837837838,0.35135135135135137,1.3108108108108107,0.9324324324324325,1.5135135135135136,2.581081081081081,4.0,6.581081081081081,1.3108108108108107,0.6216216216216216,0.918918918918919,1.1216216216216217,1.9324324324324325,7.635135135135135
1630173,2024-25,1610612752,NYK,25.0,57,10,0.502,0.278,0.594,Precious Achiuwa,20.526315789473685,2.8771929824561404,5.7368421052631575,0.17543859649122806,0.631578947368421,0.7192982456140351,1.2105263157894737,1.7719298245614035,3.789473684210526,5.56140350877193,0.9649122807017544,0.8245614035087719,0.7368421052631579,0.7894736842105263,1.4210526315789473,6.649122807017544
203500,2013-14,1610612760,OKC,20.0,81,20,0.503,0.0,0.581,Steven Adams,14.777777777777779,1.1481481481481481,2.2839506172839505,0.0,0.0,0.9753086419753086,1.6790123456790123,1.7530864197530864,2.345679012345679,4.098765432098766,0.5308641975308642,0.49382716049382713,0.7037037037037037,0.8765432098765432,2.506172839506173,3.271604938271605
203500,2014-15,1610612760,OKC,21.0,70,67,0.544,0.0,0.502,Steven Adams,25.3,3.1,5.7,0.0,0.02857142857142857,1.4714285714285715,2.9285714285714284,2.842857142857143,4.628571428571429,7.4714285714285715,0.9428571428571428,0.5428571428571428,1.2285714285714286,1.4142857142857144,3.1714285714285713,7.671428571428572
203500,2015-16,1610612760,OKC,22.0,80,80,0.613,0.0,0.582,Steven Adams,25.175,3.2625,5.325,0.0,0.0,1.425,2.45,2.7375,3.925,6.6625,0.775,0.525,1.1125,1.05,2.7875,7.95
203500,2016-17,1610612760,OKC,23.0,80,80,0.571,0.0,0.611,Steven Adams,29.8625,4.675,8.1875,0.0,0.0125,1.9625,3.2125,3.5125,4.15,7.6625,1.075,1.1125,0.975,1.825,2.4375,11.3125
203500,2017-18,1610612760,OKC,24.0,76,76,0.629,0.0,0.559,Steven Adams,32.723684210526315,5.894736842105263,9.368421052631579,0.0,0.02631578947368421,2.1052631578947367,3.763157894736842,5.052631578947368,3.960526315789474,9.013157894736842,1.1578947368421053,1.2105263157894737,1.0263157894736843,1.6842105263157894,2.8289473684210527,13.894736842105264
203500,2018-19,1610612760,OKC,25.0,80,80,0.595,0.0,0.5,Steven Adams,33.3625,6.0125,10.1125,0.0,0.025,1.825,3.65,4.8875,4.6125,9.5,1.55,1.4625,0.95,1.6875,2.55,13.85
203500,2019-20,1610612760,OKC,26.0,63,63,0.592,0.333,0.582,Steven Adams,26.682539682539684,4.492063492063492,7.587301587301587,0.015873015873015872,0.047619047619047616,1.8571428571428572,3.1904761904761907,3.2857142857142856,5.968253968253968,9.253968253968255,2.3174603174603177,0.8095238095238095,1.0634920634920635,1.492063492063492,1.9365079365079365,10.857142857142858
203500,2020-21,1610612740,NOP,27.0,58,58,0.614,0.0,0.444,Steven Adams,27.67241379310345,3.2586206896551726,5.310344827586207,0.0,0.05172413793103448,1.0344827586206897,2.3275862068965516,3.6724137931034484,5.189655172413793,8.862068965517242,1.9137931034482758,0.9310344827586207,0.6551724137931034,1.3448275862068966,1.9482758620689655,7.551724137931035
203500,2021-22,1610612763,MEM,28.0,76,75,0.547,0.0,0.543,Steven Adams,26.30263157894737,2.763157894736842,5.052631578947368,0.0,0.013157894736842105,1.4210526315789473,2.6184210526315788,4.592105263157895,5.407894736842105,10.0,3.3684210526315788,0.8552631578947368,0.7894736842105263,1.513157894736842,2.013157894736842,6.947368421052632
